Number,Task,CorA,Width,Height,Length,Velocity,PIVH,PIVL,PIAH,PIAL,GripAngleMeanW,GripAngleMeanL,GripAngleSDW,GripAngleSDL,PressureMean,PressureSD,PCAvgPos,PCSDPos,PCMax,PCAvgNeg,PCSDNeg,PCMin,Error,PeakpresMean,ErrorStopTime,AngleMean,AngleVar,ReglineSlope,ReglineIntercept,LoopCount,AngleSpeed,ErrorRate
c2001,4,0,1678.33,1690.52,10554.738763763824,0.37644930376604224,63.245553201987065,0.043478260869565216,632.4555320060656,0.001890359168241966,628.2783333333333,629.8883333333333,635.9689148697094,639.1913972725401,621.6933333333334,629.8510116598122,3.2197700964510734,3.895909854882066,26.689181427619637,3.2197700964510734,3.895909854882066,26.689181427619637,1,22072.83333333333,337.70000000000067,32.823360787786065,278.09885770975524,-0.03314782586558925,1346.6959569667454,1752.350625,347.07057142857127,0.05882352941176471
c2001,4,0,1404.52,1410.52,12300.17030577319,0.4338946125418215,114.01754250742503,0.02631578947368421,1140.1754250493627,0.0006925207756232687,602.68,603.905,559.0321445736968,560.0268759547765,598.38,555.6548347070628,2.48514987590986,2.319726094728644,13.002279131908967,2.48514987590986,2.319726094728644,13.002279131908967,1,19213.85,287.20000000000067,39.937994621762094,540.5833581862579,-0.0642647979657446,1346.2996538703571,1667.5464705882348,337.62027027027017,0.05555555555555555
c2001,4,0,1491.17,1496.69,12322.608702364954,0.4198193422280177,72.80109889254034,0.04484304932735572,728.0109889227548,0.0014086935062925419,591.2166666666667,594.7233333333334,574.2695082063434,577.3952857926322,587.49,569.7121616804986,2.260900391462287,2.970376008536263,23.174665876621237,2.260900391462287,2.970376008536263,23.174665876621237,3,15498.681818181818,175.4933333333332,26.26143543805743,933.7176187896547,-0.051973285844518616,1334.2356564817592,1630.6761111111111,311.5283720930231,0.14285714285714285
c2004,4,0,2062.65,2069.22,3875.4155363404657,0.14049780326110162,29.99999999989086,0.014513788098693452,282.84271248285086,0.00021065004497377568,694.4533333333333,695.1483333333333,740.1077044743029,742.3285638317816,687.8616666666667,733.6339202994153,2.7249980845009056,3.2623443100584333,17.0525327470917,2.7249980845009056,3.2623443100584333,17.0525327470917,2,17186.375,1112.25,36.7743906770854,262.62595257969366,0.09388654363957276,1265.5672648042093,5516.691999999999,861.3573333333331,0.2857142857142857
c2004,4,0,2195.18,2201.24,3713.283211476899,0.13506079678253555,50.0000000007276,0.01890359168241914,316.2277660030328,0.00035734577849562605,743.93,744.7166666666667,782.2835405614343,784.1857569408469,740.1383333333333,776.1677497039899,3.0961487813016952,3.96473396211778,26.93106119287374,3.0961487813016952,3.96473396211778,26.93106119287374,0,18838.33333333333,0.0,45.805405897545526,879.8689295013864,0.0656444579876518,1293.1288551276414,4582.236666666667,760.2549999999997,0.0
c2004,4,0,1819.11,1825.14,4461.680771600942,0.15370112299418745,60.82762530276091,0.01672240802675504,608.2762530253963,0.00025142505203661406,672.9283333333333,673.6633333333333,674.364319697117,676.3057494375028,670.495,668.4258735703858,3.1361180290567763,4.43454004750033,32.27888960619753,3.1361180290567763,4.43454004750033,32.27888960619753,1,20104.25,812.1900000000005,39.19157267280401,144.44480404293674,0.047916848629144346,1293.4741180532312,2902.829,730.9150000000003,0.09090909090909093
c2005,4,0,3415.05,3422.13,2838.846301615241,0.1081379571300728,31.622776600993532,0.02012072434607653,316.2277660030328,0.00040484354821079685,916.37,916.68,1203.4244240915173,1205.4806642995152,917.1366666666668,1195.8134916123931,4.000338277824153,4.227041383864297,20.998627826284554,4.000338277824153,4.227041383864297,20.998627826284554,0,29316.5,0.0,39.977390782952426,109.07449289822223,0.08131866075867553,1285.9362845868186,3750.297142857143,869.3592857142851,0.0
c2005,4,0,4727.55,4734.67,2564.108654518744,0.1030372873295926,36.05551275385288,0.010141987829614568,360.5551275306586,0.00010285991713605,1130.8533333333332,1134.09,1670.596851693696,1673.9531814938352,1129.8783333333333,1663.3240145405289,4.840919395112666,5.3130206316238375,26.39998335829591,4.840919395112666,5.3130206316238375,26.39998335829591,0,30883.125,0.0,31.69120416470798,169.38229953016844,0.08220772017942987,1287.2696046000915,3555.035714285714,836.0642857142856,0.0
c2005,4,0,2615.86,2621.92,3591.987328892081,0.12775694116694147,28.284271247873487,0.010526315789473684,282.84271248285086,0.000110803324099723,766.0533333333334,768.15,938.7293828480188,939.8964548466672,759.11,934.6885116622183,4.483246341348846,5.784708199956612,33.65636255279454,4.483246341348846,5.784708199956612,33.65636255279454,0,31120.0,0.0,35.99542272354858,235.94421726733884,0.06813920164101127,1301.9023803934658,3123.976666666667,758.1057894736841,0.0
c2006,4,0,2137.95,2142.94,9119.861175592876,0.3307762288539509,89.44271909803925,0.0427350427350434,894.427190960869,0.001826283877565985,712.335,713.8516666666667,772.1301754184116,774.5618008572475,709.5983333333335,766.731411043369,3.3284995997317828,3.4892171638415403,19.720325469190826,3.3284995997317828,3.4892171638415403,19.720325469190826,2,23900.92857142857,451.90000000000055,35.06377805824522,215.888805064709,-0.021608007386930497,1328.6924204712147,2506.462727272727,484.39259259259245,0.15384615384615385
