iter	RMSE
314	0.06636651831
315	0.06598189708
316	0.06557056474
317	0.06516208161
318	0.06475642622
319	0.06433622479
320	0.06406492633
321	0.06380758613
322	0.06343793784
323	0.06304334681
324	0.06267831241
325	0.06240147906
326	0.06204015065
327	0.06162790158
328	0.06127123248
329	0.060916808
330	0.0605646139
331	0.06017787013
332	0.05992193907
333	0.05954973543
334	0.0592056234
335	0.05896011138
336	0.05861954298
337	0.05825560188
338	0.05791928027
339	0.05755994049
340	0.05720307987
341	0.0568244636
342	0.05644889599
343	0.05609961344
344	0.05577591574
345	0.05545425327
346	0.05522421567
347	0.05485978255
348	0.05454353603
349	0.05422927823
350	0.05391699663
351	0.05356469073
352	0.05321214848
353	0.0529058894
354	0.05260155588
355	0.05238340635
356	0.05208221164
357	0.05173974893
358	0.05140002932
359	0.05108309528
360	0.050789542
361	0.05045674574
362	0.05024755232
363	0.05002434998
364	0.04973685198
365	0.04945116245
366	0.04924722417
367	0.048924566
368	0.04864367333
369	0.04833520212
370	0.04813623295
371	0.04792325733
372	0.04764812064
373	0.04733633728
374	0.04706472417
375	0.04679482096
376	0.04649835771
377	0.04623188735
378	0.04602717745
379	0.04582408552
380	0.04556133013
381	0.04530022982
382	0.04504077425
383	0.04484229361
384	0.04458546249
385	0.04433024973
386	0.04407664522
387	0.04379741657
388	0.04360450979
389	0.04332837141
390	0.04305423695
391	0.04280803737
392	0.04261970823
393	0.04235018804
394	0.04216438476
395	0.04192317428
396	0.04173976758
397	0.04147579139
398	0.04129484825
399	0.04105851607
400	0.04079897626
401	0.04062135392
402	0.0403889146
403	0.04015794239
404	0.03992842814
405	0.03970036273
406	0.03947373712
407	0.03924854235
408	0.03907752775
409	0.03885460249
410	0.03863308526
411	0.03846511738
412	0.03824583095
413	0.03802793012
414	0.03781140627
415	0.03759625086
416	0.0374329026
417	0.03721991358
418	0.03700827124
419	0.0368478314
420	0.03663831851
421	0.03643013092
422	0.03622326039
423	0.03601769877
424	0.03581343795
425	0.03565817012
426	0.0354559649
427	0.03525503986
428	0.03505538711
429	0.03483900072
430	0.03468810886
431	0.03447407654
432	0.03427887335
433	0.03406752668
434	0.03392028108
435	0.03372823616
436	0.03353740779
437	0.03333072687
438	0.03318692453
439	0.03298248741
440	0.03279590655
441	0.03259403311
442	0.03245370535
443	0.03227013916
444	0.03207158932
445	0.03193386985
446	0.03175326759
447	0.03155798436
448	0.03142282564
449	0.03122965499
450	0.03103781515
451	0.03086231535
452	0.03067287968
453	0.03054173446
454	0.03035434503
455	0.03018273933
456	0.03005403391
457	0.02986972025
458	0.0296866747
459	0.02956046292
460	0.02939327746
461	0.02922715227
462	0.02906208079
463	0.02888407919
464	0.02876673567
465	0.02859065885
466	0.02841579247
467	0.02830075635
468	0.02814103764
469	0.0280218849
470	0.02785055945
471	0.02768041106
472	0.02751143111
473	0.02740070035
474	0.02723353873
475	0.02706150434
476	0.02695294396
477	0.02679667066
478	0.0266415725
479	0.02652956067
480	0.02637633297
481	0.0262242577
482	0.02607332637
483	0.02591130535
484	0.02580854495
485	0.02566037458
486	0.02551331913
487	0.02535512447
488	0.02524949115
489	0.02510511802
490	0.02494973414
491	0.0247955883
492	0.02469277748
493	0.02454675043
494	0.02439540479
495	0.02429997687
496	0.02416150571
497	0.0240128642
498	0.02391946188
499	0.0237783206
500	0.02363239569
501	0.02354288362
502	0.02339869601
503	0.02331046974
504	0.02317818926
505	0.0230365306
506	0.02290091233
507	0.02281497676
508	0.02267118162
509	0.02258644206
510	0.02244881039
511	0.02232180367
512	0.0221814163
513	0.02209893807
514	0.02196025375
515	0.02187892472
516	0.02174192137
517	0.02166172639
518	0.02152638227
519	0.0214473064
520	0.02131360008
521	0.02122734158
522	0.02109522543
523	0.02101824737
524	0.02088772806
525	0.02080360372
526	0.02067463527
527	0.0205916626
528	0.02046422571
529	0.02039024947
530	0.02026435055
531	0.02019141124
532	0.02006510525
533	0.01999317208
534	0.0198683779
535	0.01979743783
536	0.01967413436
537	0.01960417451
538	0.01948234097
539	0.01941334859
540	0.01929296451
541	0.01922492703
542	0.01910597223
543	0.01903887721
544	0.01892133181
545	0.01885516697
546	0.01878954663
547	0.01867376434
548	0.01860905549
549	0.0184946378
550	0.01843082851
551	0.01831775649
552	0.01825483497
553	0.01814308997
554	0.01808104455
555	0.0179706082
556	0.01790942738
557	0.01780028158
558	0.01773995395
559	0.01763208087
560	0.0175725952
561	0.01746597726
562	0.01740732242
563	0.01730194233
564	0.01724410733
565	0.01713994802
566	0.01708292201
567	0.01699333473
568	0.01689092877
569	0.01683508331
570	0.01677970694
571	0.01667879492
572	0.01662419518
573	0.0165374808
574	0.01643825798
575	0.01638479059
576	0.01629960843
577	0.01620204227
578	0.0161496842
579	0.01605323369
580	0.01600161158
581	0.0159187923
582	0.01581193228
583	0.01576139976
584	0.01566751881
585	0.01561769758
586	0.01551312825
587	0.0154640264
588	0.01537215582
589	0.01532374604
590	0.01523291678
591	0.01518518977
592	0.01509538756
593	0.01504833412
594	0.01496336499
595	0.01487911559
596	0.01483306691
597	0.01474982815
598	0.01466729314
599	0.01458545515
600	0.01453043688
601	0.01444325112
602	0.01438903016
603	0.01430471071
604	0.01425894614
605	0.01417368234
606	0.01412856341
607	0.01404614619
608	0.01400172164
609	0.01391825374
610	0.01387445737
611	0.01379283338
612	0.01375128719
613	0.01367057203
614	0.01362959741
615	0.01354630089
616	0.0134688652
617	0.01338994411
618	0.01335002863
619	0.0132686988
620	0.01321997362
621	0.01313970235
622	0.01309172003
623	0.01304415258
624	0.01296524204
625	0.01291840097
626	0.01284051422
627	0.01279438886
628	0.01274866361
629	0.01267209141
630	0.012627066
631	0.01255148415
632	0.01250714833
633	0.01243254305
634	0.01239118156
635	0.01231749666
636	0.01227444397
637	0.01223398106
638	0.01216276109
639	0.01209032584
640	0.01203273032
641	0.01199104335
642	0.01193408088
643	0.01186480502
644	0.01179611306
645	0.01174014514
646	0.01169966345
647	0.01164429961
648	0.01157712971
649	0.01152254577
650	0.01148298742
651	0.01141696082
652	0.01135673288
653	0.01131797694
654	0.01125849833
655	0.01122030618
656	0.01118245195
657	0.01112392883
658	0.01108858515
659	0.01103079473
660	0.01099397758
661	0.01093689971
662	0.01090256438
663	0.01084619907
664	0.01081039099
665	0.01077682468
666	0.01072136432
667	0.01068633883
668	0.01063155688
669	0.01059895287
670	0.01054999259
671	0.01051592571
672	0.01046753746
673	0.01043585223
674	0.0103880335
675	0.01035489679
676	0.01030763455
677	0.01027684433
678	0.01022500944
679	0.01019278075
680	0.01016268935
681	0.01011670318
682	0.01008518135
683	0.01003972569
684	0.01001048788
685	0.009960543887
686	0.009929886645
687	0.009885476014
688	0.009855267171
689	0.009827096526
690	0.009783364868
691	0.009753821304
692	0.009705671982
693	0.009678314304
694	0.009620458809
695	0.009573160152
696	0.009544632634
697	0.009518039495
698	0.009476220749
699	0.009438940036
700	0.009411209441
701	0.009370132665
702	0.009333586195
703	0.009293835878
704	0.009254487992
705	0.009215538934
706	0.009190646351
707	0.009152294881
708	0.009097870074
709	0.00907352229
710	0.009029817946
711	0.008992511581
712	0.008955585675
713	0.008919036801
714	0.00888286156
715	0.008847056582
716	0.00879837475
717	0.008775533087
718	0.008723574258
719	0.008701051739
720	0.008664148729
721	0.00864196449
722	0.008591036808
723	0.008550360854
724	0.008527150727
725	0.008491313102
726	0.008469893028
727	0.008424093329
728	0.008406794552
729	0.008371695506
730	0.00832678053
731	0.008287890372
732	0.008249484823
733	0.008232782006
734	0.008212381568
735	0.008174645941
736	0.008137381191
737	0.00811731392
738	0.008101217866
739	0.008063493473
740	0.008027037696
741	0.008007464148
742	0.007971534424
743	0.007936053153
744	0.007901014249
745	0.007866411721
746	0.007832239666
747	0.007805396916
748	0.007786426217
749	0.007752920581
750	0.007730018568
751	0.007711397144
752	0.007696867915
753	0.007674399424
754	0.007638858169
755	0.007616729479
756	0.007581639008
757	0.007559845129
758	0.007538244182
759	0.007503735145
760	0.00748246162
761	0.007448388483
762	0.00742743757
763	0.00740667344
764	0.007362252406
765	0.007331093324
766	0.00730666166
767	0.007262968818
768	0.007232506148
769	0.007208573616
770	0.007191882377
771	0.007150070299
772	0.007131577302
773	0.007089144697
774	0.007070877767
775	0.007028970582
776	0.007010926781
777	0.006978472353
778	0.006960604488
779	0.006928480003
780	0.006896668999
781	0.006878987305
782	0.006839382191
783	0.006821891557
784	0.006790688735
785	0.006771257596
786	0.006752000231
787	0.006733074169
788	0.006714327165
789	0.006674637629
790	0.006655890945
791	0.006637312938
792	0.006619073512
793	0.006600798538
794	0.006582867123
795	0.006543895916
796	0.006525975713
797	0.006508400323
798	0.006490773773
799	0.006453302708
800	0.0064233359
801	0.006393661826
802	0.006364277699
803	0.006347116312
804	0.006318024139
805	0.006301030779
806	0.006272226882
807	0.006255399269
808	0.006223144431
809	0.00620649014
810	0.006178231991
811	0.006161738939
812	0.006130119537
813	0.006102392133
814	0.006086069359
815	0.006055059492
816	0.006038902445
817	0.006011695603
818	0.005995692689
819	0.005954788227
820	0.005921101326
821	0.005880908802
822	0.005853769004
823	0.005820815084
824	0.005788151657
825	0.005749119233
826	0.005717009748
827	0.005689641819
828	0.005662494654
829	0.005635566385
830	0.005608855169
831	0.005582359185
832	0.005556076637
833	0.005530005749
834	0.005504144771
835	0.005478491972
836	0.005453045643
837	0.005427804096
838	0.005402765664
839	0.005377928699
840	0.005353291574
841	0.005339644801
842	0.005315275026
843	0.005291101362
844	0.005277714726
845	0.005253803
846	0.005230083759
847	0.005206555477
848	0.005193489296
849	0.005170215648
850	0.005147129468
851	0.005134311171
852	0.005111474554
853	0.005088822002
854	0.005066352084
855	0.005053847764
856	0.005020927208
857	0.005008971564
858	0.004976495329
859	0.004944385613
860	0.004932688863
861	0.004901012379
862	0.004889498258
863	0.004858248769
864	0.004846914067
865	0.004816085443
866	0.004804927024
867	0.00477451324
868	0.004752484438
869	0.004722574277
870	0.004700933414
871	0.004671519216
872	0.00466074877
873	0.004639530047
874	0.004610667429
875	0.00458982125
876	0.004561438563
877	0.004540957935
878	0.004521226647
879	0.00450104344
880	0.004481068435
881	0.004461663994
882	0.004441977482
883	0.004422810813
884	0.004403407683
885	0.004384203486
886	0.004361086566
887	0.004342135233
888	0.00431929365
889	0.004296669148
890	0.004278021479
891	0.004255666513
892	0.004237262716
893	0.004215173936
894	0.004194348265
895	0.004176233577
896	0.004155644597
897	0.004140040607
898	0.004119692533
899	0.00409890309
900	0.004081323101
901	0.004061294291
902	0.004041446834
903	0.004025349909
904	0.004005731992
905	0.003985698723
906	0.003965884021
907	0.003948996974
908	0.00392976923
909	0.003910716207
910	0.003895334241
911	0.003876501491
912	0.003857407805
913	0.003838523383
914	0.003822300005
915	0.003803839092
916	0.00378554655
917	0.003770847969
918	0.003752766842
919	0.003734569931
920	0.0037165734
921	0.003700985538
922	0.003683258787
923	0.003665694321
924	0.003651648932
925	0.003634287412
926	0.003621251049
927	0.0036061426
928	0.003589033567
929	0.003572081678
930	0.003556612207
931	0.003546471299
932	0.003529765308
933	0.003516379842
934	0.003506251206
935	0.003489763319
936	0.003476623766
937	0.003466766311
938	0.003450511883
939	0.003437584082
940	0.003418855618
941	0.003408521073
942	0.003398920226
943	0.003383049234
944	0.003370454209
945	0.003359506172
946	0.003349458422
947	0.003333839971
948	0.003316914261
949	0.00330460842
950	0.003293954166
951	0.00328417641
952	0.003268944404
953	0.003251386209
954	0.003240307428
955	0.003229934134
956	0.003218083782
957	0.003202182696
958	0.00319279143
959	0.003177201462
960	0.003165749835
961	0.003152184908
962	0.003137600255
963	0.003126353482
964	0.003111951866
965	0.003098192762
966	0.00308398062
967	0.003070512973
968	0.003056486995
969	0.003043303138
970	0.00302946009
971	0.003020029546
972	0.003012129542
973	0.002998471492
974	0.002990672967
975	0.002977160631
976	0.002964523516
977	0.002955359785
978	0.002942058958
979	0.002934475724
980	0.002921316611
981	0.002913830609
982	0.002900811646
983	0.002888697611
984	0.002874530325
985	0.002860520608
986	0.002853264019
987	0.002843334019
988	0.00283164116
989	0.002819080103
990	0.002805462934
991	0.002798423876
992	0.0027887774
993	0.0027774812
994	0.002765249177
995	0.002751858454
996	0.002745043993
997	0.002735669425
998	0.002726393478
999	0.002715548446
8
999	0.002156430193
